Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.09.2023,10792.3575,19075.3575,10235.3575,557.0,8840.0
02.09.2023,10074.9883,26956.9883,9992.9883,82.0,16964.0
03.09.2023,6746.4897,30126.4897,6738.4897,8.0,23388.0
04.09.2023,23496.7564,32199.7564,13377.7564,10119.0,18822.0
05.09.2023,26880.1517,21034.1517,8350.1517,18530.0,12684.0
06.09.2023,17408.7903,19778.7903,10730.7903,6678.0,9048.0
07.09.2023,28546.9642,18730.9642,10965.9642,17581.0,7765.0
08.09.2023,30650.2678,18927.2678,12672.2678,17978.0,6255.0
09.09.2023,31315.6542,15741.6542,9681.6542,21634.0,6060.0
10.09.2023,6320.2181,17485.2181,6311.2181,9.0,11174.0
11.09.2023,11727.8392,20974.8392,7895.8392,3832.0,13079.0
12.09.2023,12212.2669,31015.2669,10890.2669,1322.0,20125.0
13.09.2023,30056.3814,26278.3814,14137.3814,15919.0,12141.0
14.09.2023,21274.63,18721.63,8919.63,12355.0,9802.0
15.09.2023,19024.2483,25666.2483,11537.2483,7487.0,14129.0
16.09.2023,16520.0108,27313.0108,11486.0108,5034.0,15827.0
17.09.2023,9719.7672,23087.7672,9152.7672,567.0,13935.0
18.09.2023,28956.7453,21686.7453,11237.7453,17719.0,10449.0
19.09.2023,31734.1481,17562.1481,10051.1481,21683.0,7511.0
20.09.2023,12991.3203,17683.3203,9862.3203,3129.0,7821.0
21.09.2023,12556.6208,16839.6208,8744.6208,3812.0,8095.0
22.09.2023,6926.9319,21755.9319,6894.9319,32.0,14861.0
23.09.2023,15084.3106,33288.3106,14995.3106,89.0,18293.0
24.09.2023,26567.4142,36129.4142,22678.4142,3889.0,13451.0
25.09.2023,37790.8086,28804.8086,14502.8086,23288.0,14302.0
26.09.2023,29802.5286,28037.5286,15623.5286,14179.0,12414.0
27.09.2023,16808.3194,26488.3194,11685.3194,5123.0,14803.0
28.09.2023,19696.6331,32655.6331,13217.6331,6479.0,19438.0
29.09.2023,19433.1486,28891.1486,11083.1486,8350.0,17808.0
30.09.2023,27439.8644,42394.8644,14490.8644,12949.0,27904.0
