Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.07.2025,15852.4731,23855.4731,9756.4731,6096.0,14099.0
02.07.2025,14865.7778,28448.7778,14189.7778,676.0,14259.0
03.07.2025,2101.995,30869.995,2096.995,5.0,28773.0
04.07.2025,3543.55,37429.55,3513.55,30.0,33916.0
05.07.2025,2451.8939,42091.8939,2449.8939,2.0,39642.0
06.07.2025,15157.1736,43709.1736,14250.1736,907.0,29459.0
07.07.2025,6402.2661,29972.2661,6224.2661,178.0,23748.0
08.07.2025,15685.8278,39407.8278,14622.8278,1063.0,24785.0
09.07.2025,2851.8978,48050.8978,2835.8978,16.0,45215.0
10.07.2025,16516.3717,33414.3717,11879.3717,4637.0,21535.0
11.07.2025,5501.5975,23152.5975,5365.5975,136.0,17787.0
12.07.2025,10623.0892,33878.0892,9859.0892,764.0,24019.0
13.07.2025,5978.5867,36509.5867,5771.5867,207.0,30738.0
14.07.2025,15531.5747,26658.5747,13700.5747,1831.0,12958.0
15.07.2025,15528.5339,22916.5339,10130.5339,5398.0,12786.0
16.07.2025,11895.6653,31768.6653,10727.6653,1168.0,21041.0
17.07.2025,15490.2256,33774.2256,13163.2256,2327.0,20611.0
18.07.2025,17006.3511,32800.3511,15712.3511,1294.0,17088.0
19.07.2025,16017.5758,31517.5758,14411.5758,1606.0,17106.0
20.07.2025,18934.8644,28022.8644,15103.8644,3831.0,12919.0
21.07.2025,11382.4086,24079.4086,11014.4086,368.0,13065.0
22.07.2025,19300.9696,23115.9696,11961.9696,7339.0,11154.0
23.07.2025,19919.0921,25241.0921,12744.0921,7175.0,12497.0
24.07.2025,20003.418,24616.418,12850.418,7153.0,11766.0
25.07.2025,10962.9887,31414.9887,10403.9887,559.0,21011.0
26.07.2025,5275.7739,33184.7739,4888.7739,387.0,28296.0
27.07.2025,5268.3273,41294.3273,4912.3273,356.0,36382.0
28.07.2025,8141.783,34835.783,7922.783,219.0,26913.0
29.07.2025,2830.34,22949.34,2797.34,33.0,20152.0
30.07.2025,2823.6884,31237.6884,2801.6884,22.0,28436.0
31.07.2025,10573.3122,43349.3122,9987.3122,586.0,33362.0
