Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.04.2026,20338.7892,6035.7892,5063.7892,15275.0,972.0
02.04.2026,30473.698,5994.698,4912.698,25561.0,1082.0
03.04.2026,19650.2848,5901.2848,4696.2848,14954.0,1205.0
04.04.2026,6933.5644,5894.5644,4784.5644,2149.0,1110.0
05.04.2026,12514.3249,5246.3249,4185.3249,8329.0,1061.0
06.04.2026,14065.1485,5579.1485,4581.1485,9484.0,998.0
07.04.2026,5316.8891,6168.8891,5083.8891,233.0,1085.0
08.04.2026,10734.7255,5225.7255,4169.7255,6565.0,1056.0
09.04.2026,23042.6469,6527.6469,5418.6469,17624.0,1109.0
10.04.2026,27249.4586,5707.4586,4556.4586,22693.0,1151.0
11.04.2026,17044.571,5644.571,4574.571,12470.0,1070.0
12.04.2026,5704.2644,6589.2644,5559.2644,145.0,1030.0
13.04.2026,16815.3869,5258.3869,4183.3869,12632.0,1075.0
14.04.2026,15688.2404,11566.2404,4278.2404,11410.0,7288.0
15.04.2026,18277.6815,31152.6815,13026.6815,5251.0,18126.0
16.04.2026,24716.4325,40380.4325,19283.4325,5433.0,21097.0
17.04.2026,12008.4939,30363.4939,11126.4939,882.0,19237.0
18.04.2026,18945.1341,22432.1341,10819.1341,8126.0,11613.0
19.04.2026,7567.084,33393.084,7230.084,337.0,26163.0
20.04.2026,14187.5451,35636.5451,12950.5451,1237.0,22686.0
21.04.2026,16847.2713,34627.2713,14914.2713,1933.0,19713.0
22.04.2026,13510.4777,31336.4777,12511.4777,999.0,18825.0
23.04.2026,22640.17,35575.17,18638.17,4002.0,16937.0
24.04.2026,14305.6711,24735.6711,10670.6711,3635.0,14065.0
25.04.2026,8087.4513,24555.4513,7413.4513,674.0,17142.0
26.04.2026,2654.0467,23427.0467,2635.0467,19.0,20792.0
27.04.2026,3660.7616,25188.7616,3561.7616,99.0,21627.0
28.04.2026,20853.1707,33933.1707,19181.1707,1672.0,14752.0
29.04.2026,16014.6483,24714.6483,10103.6483,5911.0,14611.0
30.04.2026,24221.1598,27024.1598,14359.1598,9862.0,12665.0
