Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.06.2026,5332.226,20991.226,5125.226,207.0,15866.0
02.06.2026,3100.7036,31690.7036,2979.7036,121.0,28711.0
03.06.2026,8597.589,27942.589,8220.589,377.0,19722.0
04.06.2026,3918.2849,33139.2849,3826.2849,92.0,29313.0
05.06.2026,9020.919,23455.919,8698.919,322.0,14757.0
06.06.2026,13249.5567,25506.5567,12451.5567,798.0,13055.0
07.06.2026,11922.3103,25308.3103,11142.3103,780.0,14166.0
08.06.2026,8532.9069,23073.9069,7835.9069,697.0,15238.0
09.06.2026,13218.4866,26677.4866,8349.4866,4869.0,18328.0
10.06.2026,15109.9458,30901.9458,14143.9458,966.0,16758.0
11.06.2026,13998.2782,27932.2782,11645.2782,2353.0,16287.0
12.06.2026,15981.1031,19276.1031,9117.1031,6864.0,10159.0
13.06.2026,16616.4759,31885.4759,15342.4759,1274.0,16543.0
14.06.2026,6804.0608,29994.0608,6577.0608,227.0,23417.0
15.06.2026,4859.1283,26580.1283,4605.1283,254.0,21975.0
16.06.2026,14353.7258,38415.7258,12193.7258,2160.0,26222.0
17.06.2026,12184.1077,35015.1077,11251.1077,933.0,23764.0
18.06.2026,16338.4969,29949.4969,9523.4969,6815.0,20426.0
19.06.2026,3321.5366,22731.5366,3169.5366,152.0,19562.0
20.06.2026,808.6402,33382.6402,808.6402,0.0,32574.0
21.06.2026,13645.4135,49893.4135,12866.4135,779.0,37027.0
22.06.2026,16412.3359,35516.3359,15961.3359,451.0,19555.0
23.06.2026,13987.2917,38577.2917,13525.2917,462.0,25052.0
24.06.2026,3688.2903,34185.2903,3673.2903,15.0,30512.0
25.06.2026,3366.4674,49426.4674,3315.4674,51.0,46111.0
26.06.2026,16835.8597,41193.8597,12318.8597,4517.0,28875.0
27.06.2026,7972.0838,41339.0838,7748.0838,224.0,33591.0
28.06.2026,10718.2499,40503.2499,10147.2499,571.0,30356.0
29.06.2026,4241.6717,37676.6717,4159.6717,82.0,33517.0
30.06.2026,16645.0768,40796.0768,14858.0768,1787.0,25938.0
