Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.11.2024,12362.3797,23186.3797,11952.3797,410.0,11234.0
02.11.2024,26765.0947,34660.0947,22028.0947,4737.0,12632.0
03.11.2024,41647.7275,36728.7275,24322.7275,17325.0,12406.0
04.11.2024,9654.4111,20822.4111,9504.4111,150.0,11318.0
05.11.2024,18916.8808,22812.8808,15864.8808,3052.0,6948.0
06.11.2024,42971.3022,19409.3022,14198.3022,28773.0,5211.0
07.11.2024,38191.9375,15755.9375,12637.9375,25554.0,3118.0
08.11.2024,9280.6803,15476.6803,8675.6803,605.0,6801.0
09.11.2024,30808.5469,22847.5469,16961.5469,13847.0,5886.0
10.11.2024,25924.2092,20826.2092,14961.2092,10963.0,5865.0
11.11.2024,36855.8822,18504.8822,13830.8822,23025.0,4674.0
12.11.2024,40650.6422,12966.6422,8224.6422,32426.0,4742.0
13.11.2024,45080.9644,14833.9644,11252.9644,33828.0,3581.0
14.11.2024,21524.2594,15205.2594,11036.2594,10488.0,4169.0
15.11.2024,10986.6006,21068.6006,10415.6006,571.0,10653.0
16.11.2024,24712.0064,30968.0064,18483.0064,6229.0,12485.0
17.11.2024,45588.045,30923.045,22615.045,22973.0,8308.0
18.11.2024,42949.4836,18048.4836,12702.4836,30247.0,5346.0
19.11.2024,24631.6131,14566.6131,10937.6131,13694.0,3629.0
20.11.2024,28020.9158,14468.9158,10010.9158,18010.0,4458.0
21.11.2024,22710.6419,21468.6419,11429.6419,11281.0,10039.0
22.11.2024,35275.1736,24736.1736,15353.1736,19922.0,9383.0
23.11.2024,26262.5192,21646.5192,14635.5192,11627.0,7011.0
24.11.2024,26334.2306,19146.2306,13287.2306,13047.0,5859.0
25.11.2024,39688.8075,12563.8075,10354.8075,29334.0,2209.0
26.11.2024,36611.5364,12575.5364,7719.5364,28892.0,4856.0
27.11.2024,26152.6781,14629.6781,10285.6781,15867.0,4344.0
28.11.2024,9423.3267,11620.3267,6604.3267,2819.0,5016.0
29.11.2024,45682.7569,13345.7569,8330.7569,37352.0,5015.0
30.11.2024,46405.1433,8037.1433,6736.1433,39669.0,1301.0
