Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.04.2023,24930.3719,18406.3719,8665.3719,16265.0,9741.0
02.04.2023,8612.0397,22146.0397,4976.0397,3636.0,17170.0
03.04.2023,25002.7431,26033.7431,12380.7431,12622.0,13653.0
04.04.2023,23549.2783,16374.2783,7539.2783,16010.0,8835.0
05.04.2023,18892.1408,16655.1408,5784.1408,13108.0,10871.0
06.04.2023,13294.1519,37077.1519,9536.1519,3758.0,27541.0
07.04.2023,27558.3628,34642.3628,15641.3628,11917.0,19001.0
08.04.2023,32095.3456,34158.3456,18370.3456,13725.0,15788.0
09.04.2023,24686.4533,29777.4533,13003.4533,11683.0,16774.0
10.04.2023,3148.1264,20652.1264,2665.1264,483.0,17987.0
11.04.2023,7069.4347,25168.4347,4634.4347,2435.0,20534.0
12.04.2023,8184.5594,21129.5594,4125.5594,4059.0,17004.0
13.04.2023,5042.6531,25362.6531,4556.6531,486.0,20806.0
14.04.2023,13454.4708,27519.4708,8526.4708,4928.0,18993.0
15.04.2023,29819.4108,33504.4108,18018.4108,11801.0,15486.0
16.04.2023,27624.1008,25342.1008,10999.1008,16625.0,14343.0
17.04.2023,22395.6467,19286.6467,4813.6467,17582.0,14473.0
18.04.2023,3419.8261,26944.8261,3108.8261,311.0,23836.0
19.04.2023,8292.9319,35256.9319,7206.9319,1086.0,28050.0
20.04.2023,22144.8819,23460.8819,7965.8819,14179.0,15495.0
21.04.2023,10258.6119,24253.6119,6646.6119,3612.0,17607.0
22.04.2023,18513.1581,23968.1581,10323.1581,8190.0,13645.0
23.04.2023,13896.8022,28404.8022,9540.8022,4356.0,18864.0
24.04.2023,18848.2636,29566.2636,8095.2636,10753.0,21471.0
25.04.2023,18748.0892,31939.0892,11841.0892,6907.0,20098.0
26.04.2023,17741.6936,29589.6936,10584.6936,7157.0,19005.0
27.04.2023,24856.7281,25731.7281,10147.7281,14709.0,15584.0
28.04.2023,17598.7131,18277.7131,4785.7131,12813.0,13492.0
29.04.2023,21714.1028,28113.1028,10597.1028,11117.0,17516.0
30.04.2023,24071.3611,19893.3611,10273.3611,13798.0,9620.0
