Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.12.2023,39641.9061,23630.9061,17957.9061,21684.0,5673.0
02.12.2023,29169.4939,21631.4939,14547.4939,14622.0,7084.0
03.12.2023,10392.8981,20475.8981,10236.8981,156.0,10239.0
04.12.2023,33935.7528,26047.7528,19491.7528,14444.0,6556.0
05.12.2023,26276.2914,20333.2914,13955.2914,12321.0,6378.0
06.12.2023,36967.7686,17862.7686,13335.7686,23632.0,4527.0
07.12.2023,37589.3872,15291.3872,11815.3872,25774.0,3476.0
08.12.2023,30185.0794,21674.0794,15773.0794,14412.0,5901.0
09.12.2023,16259.2322,17970.2322,12254.2322,4005.0,5716.0
10.12.2023,36212.5078,25924.5078,19084.5078,17128.0,6840.0
11.12.2023,40006.0747,16000.0747,11829.0747,28177.0,4171.0
12.12.2023,30528.1847,17377.1847,10167.1847,20361.0,7210.0
13.12.2023,30130.4342,24298.4342,16813.4342,13317.0,7485.0
14.12.2023,38717.8281,18631.8281,11193.8281,27524.0,7438.0
15.12.2023,27148.4814,16493.4814,11194.4814,15954.0,5299.0
16.12.2023,22841.2972,19611.2972,14618.2972,8223.0,4993.0
17.12.2023,17658.2764,16617.2764,12201.2764,5457.0,4416.0
18.12.2023,40127.6936,17074.6936,12084.6936,28043.0,4990.0
19.12.2023,44057.7347,12769.7347,9816.7347,34241.0,2953.0
20.12.2023,29279.8711,19629.8711,16459.8711,12820.0,3170.0
21.12.2023,7693.2475,12048.2475,7458.2475,235.0,4590.0
22.12.2023,26507.7892,8257.7892,5670.7892,20837.0,2587.0
23.12.2023,23105.9631,7805.9631,5773.9631,17332.0,2032.0
24.12.2023,30502.6303,6032.6303,5194.6303,25308.0,838.0
25.12.2023,32222.6089,6452.6089,5522.6089,26700.0,930.0
26.12.2023,14085.7517,5773.7517,4942.7517,9143.0,831.0
27.12.2023,21563.6469,5937.6469,5138.6469,16425.0,799.0
28.12.2023,43328.6544,6839.6544,6054.6544,37274.0,785.0
29.12.2023,27262.9678,6194.9678,5373.9678,21889.0,821.0
30.12.2023,19663.4781,6778.4781,5851.4781,13812.0,927.0
31.12.2023,25487.6311,5503.6311,4733.6311,20754.0,770.0
