Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.07.2023,7780.0656,46216.0656,7729.0656,51.0,38487.0
02.07.2023,3455.0108,60171.0108,3431.0108,24.0,56740.0
03.07.2023,4280.3236,48773.3236,4115.3236,165.0,44658.0
04.07.2023,10123.7511,32753.7511,9884.7511,239.0,22869.0
05.07.2023,4910.1261,31821.1261,4837.1261,73.0,26984.0
06.07.2023,13558.0722,40474.0722,13452.0722,106.0,27022.0
07.07.2023,15062.8767,34815.8767,14993.8767,69.0,19822.0
08.07.2023,5493.9450,39660.9450,5478.9450,15.0,34182.0
09.07.2023,5667.4197,42754.4197,5618.4197,49.0,37136.0
10.07.2023,12184.9069,38113.9069,12114.9069,70.0,25999.0
11.07.2023,13970.1236,40014.1236,13911.1236,59.0,26103.0
12.07.2023,8715.5894,55947.5894,7833.5894,882.0,48114.0
13.07.2023,4768.1081,42067.1081,4716.1081,52.0,37351.0
14.07.2023,12421.5172,31426.5172,12359.5172,62.0,19067.0
15.07.2023,11527.7175,28592.7175,11228.7175,299.0,17364.0
16.07.2023,8919.1711,33470.1711,8811.1711,108.0,24659.0
17.07.2023,10557.3875,25216.3875,10458.3875,99.0,14758.0
18.07.2023,5724.5172,23191.5172,5694.5172,30.0,17497.0
19.07.2023,8583.2883,29550.2883,8421.2883,162.0,21129.0
20.07.2023,4192.3203,27913.3203,4191.3203,1.0,23722.0
21.07.2023,17181.9719,38101.9719,16824.9719,357.0,21277.0
22.07.2023,11532.3956,33312.3956,11248.3956,284.0,22064.0
23.07.2023,1600.63,31710.63,1600.63,0,30110.0
24.07.2023,4416.6928,27250.6928,4401.6928,15.0,22849.0
25.07.2023,9661.2789,29990.2789,9500.2789,161.0,20490.0
26.07.2023,17111.7264,37370.7264,16967.7264,144.0,20403.0
27.07.2023,6116.7297,30622.7297,5991.7297,125.0,24631.0
28.07.2023,17718.4992,30413.4992,13474.4992,4244.0,16939.0
29.07.2023,13477.86,35114.86,13054.86,423.0,22060.0
30.07.2023,19569.4469,34564.4469,17683.4469,1886.0,16881.0
31.07.2023,20435.1597,15647.1597,6679.1597,13756.0,8968.0
