Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.02.2024,19367.6689,12402.6689,8528.6689,10839.0,3874.0
02.02.2024,14980.0292,19880.0292,14662.0292,318.0,5218.0
03.02.2024,27495.8564,13148.8564,9092.8564,18403.0,4056.0
04.02.2024,30734.9661,6847.9661,5491.9661,25243.0,1356.0
05.02.2024,36847.0783,7232.0783,5935.0783,30912.0,1297.0
06.02.2024,7703.8758,6194.8758,4769.8758,2934.0,1425.0
07.02.2024,32315.5175,7052.5175,5749.5175,26566.0,1303.0
08.02.2024,40584.6397,7671.6397,6164.6397,34420.0,1507.0
09.02.2024,25417.8683,6633.8683,5473.8683,19944.0,1160.0
10.02.2024,15499.4567,11277.4567,6272.4567,9227.0,5005.0
11.02.2024,21910.0944,29226.0944,17380.0944,4530.0,11846.0
12.02.2024,34292.1525,18195.1525,13635.1525,20657.0,4560.0
13.02.2024,35970.1364,17660.1364,13375.1364,22595.0,4285.0
14.02.2024,42118.9131,18059.9131,14144.9131,27974.0,3915.0
15.02.2024,9139.2336,19251.2336,9038.2336,101.0,10213.0
16.02.2024,41576.1169,20309.1169,15938.1169,25638.0,4371.0
17.02.2024,34014.0167,16486.0167,12698.0167,21316.0,3788.0
18.02.2024,39347.8583,11180.8583,7544.8583,31803.0,3636.0
19.02.2024,18731.1711,17796.1711,12789.1711,5942.0,5007.0
20.02.2024,35513.1131,19658.1131,12769.1131,22744.0,6889.0
21.02.2024,30613.2183,21311.2183,14583.2183,16030.0,6728.0
22.02.2024,22273.1956,14884.1956,9762.1956,12511.0,5122.0
23.02.2024,38098.8078,16019.8078,11260.8078,26838.0,4759.0
24.02.2024,4116.5575,13117.5575,4114.5575,2.0,9003.0
25.02.2024,18646.6867,25068.6867,17208.6867,1438.0,7860.0
26.02.2024,22640.4694,16804.4694,8815.4694,13825.0,7989.0
27.02.2024,24750.5292,14652.5292,7348.5292,17402.0,7304.0
28.02.2024,15080.6956,15340.6956,8923.6956,6157.0,6417.0
29.02.2024,40509.7897,16040.7897,10787.7897,29722.0,5253.0
