Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.05.2025,4032.6764,23723.6764,3947.6764,85.0,19776.0
02.05.2025,12365.2367,31768.2367,11470.2367,895.0,20298.0
03.05.2025,8298.4389,26789.4389,7428.4389,870.0,19361.0
04.05.2025,22324.8625,27241.8625,17710.8625,4614.0,9531.0
05.05.2025,22353.6189,18909.6189,10479.6189,11874.0,8430.0
06.05.2025,14388.9294,17408.9294,11036.9294,3352.0,6372.0
07.05.2025,20759.2558,10866.2558,5102.2558,15657.0,5764.0
08.05.2025,2158.7239,8607.7239,2084.7239,74.0,6523.0
09.05.2025,6206.9617,18930.9617,5965.9617,241.0,12965.0
10.05.2025,11623.1469,29081.1469,10702.1469,921.0,18379.0
11.05.2025,8104.0214,30125.0214,7297.0214,807.0,22828.0
12.05.2025,17908.4199,19238.4199,9503.4199,8405.0,9735.0
13.05.2025,11465.7651,19640.7651,10610.7651,855.0,9030.0
14.05.2025,19284.58,22404.58,11020.58,8264.0,11384.0
15.05.2025,12499.1696,20024.1696,10527.1696,1972.0,9497.0
16.05.2025,14295.9504,20050.9504,13122.9504,1173.0,6928.0
17.05.2025,7794.9561,15338.9561,7430.9561,364.0,7908.0
18.05.2025,6516.3469,27408.3469,6000.3469,516.0,21408.0
19.05.2025,20313.5728,34001.5728,12554.5728,7759.0,21447.0
20.05.2025,5888.4301,19818.4301,5385.4301,503.0,14433.0
21.05.2025,10080.3438,22502.3438,9629.3438,451.0,12873.0
22.05.2025,10746.1049,21145.1049,10119.1049,627.0,11026.0
23.05.2025,13994.1893,22381.1893,13332.1893,662.0,9049.0
24.05.2025,18549.8983,24166.8983,13813.8983,4736.0,10353.0
25.05.2025,7326.6146,21958.6146,6569.6146,757.0,15389.0
26.05.2025,12070.3328,25042.3328,11603.3328,467.0,13439.0
27.05.2025,15040.6161,16702.6161,9713.6161,5327.0,6989.0
28.05.2025,5942.2574,21720.2574,5814.2574,128.0,15906.0
29.05.2025,2049.5266,18004.5266,1999.5266,50.0,16005.0
30.05.2025,13155.1626,37661.1626,12254.1626,901.0,25407.0
31.05.2025,10089.5136,35930.5136,9354.5136,735.0,26576.0
