Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.11.2023,21288.2986,12458.2986,9165.2986,12123.0,3293.0
02.11.2023,11773.7617,6967.7617,5489.7617,6284.0,1478.0
03.11.2023,32809.0917,6565.0917,5121.0917,27688.0,1444.0
04.11.2023,20354.53,6868.53,5248.53,15106.0,1620.0
05.11.2023,28387.0161,11955.0161,8437.0161,19950.0,3518.0
06.11.2023,36994.5925,22236.5925,13483.5925,23511.0,8753.0
07.11.2023,34084.3319,15763.3319,9703.3319,24381.0,6060.0
08.11.2023,21591.6331,26575.6331,18063.6331,3528.0,8512.0
09.11.2023,17590.4183,20879.4183,11158.4183,6432.0,9721.0
10.11.2023,44705.9478,22202.9478,13843.9478,30862.0,8359.0
11.11.2023,44983.9022,25870.9022,19709.9022,25274.0,6161.0
12.11.2023,14326.4089,18912.4089,13037.4089,1289.0,5875.0
13.11.2023,20428.4506,13883.4506,8561.4506,11867.0,5322.0
14.11.2023,33566.6894,14426.6894,8290.6894,25276.0,6136.0
15.11.2023,31199.6736,23854.6736,16628.6736,14571.0,7226.0
16.11.2023,40177.4272,17538.4272,12003.4272,28174.0,5535.0
17.11.2023,15208.985,19817.985,12250.985,2958.0,7567.0
18.11.2023,38497.4436,28245.4436,20187.4436,18310.0,8058.0
19.11.2023,12932.6989,22601.6989,12808.6989,124.0,9793.0
20.11.2023,44986.4072,18358.4072,12268.4072,32718.0,6090.0
21.11.2023,43888.2736,14590.2736,10179.2736,33709.0,4411.0
22.11.2023,24374.3164,15840.3164,12383.3164,11991.0,3457.0
23.11.2023,12483.0728,14222.0728,8420.0728,4063.0,5802.0
24.11.2023,33113.06,23010.06,15648.06,17465.0,7362.0
25.11.2023,46927.7239,29366.7239,23029.7239,23898.0,6337.0
26.11.2023,24016.3994,19783.3994,12538.3994,11478.0,7245.0
27.11.2023,20214.8819,16690.8819,10941.8819,9273.0,5749.0
28.11.2023,14008.6242,16691.6242,8379.6242,5629.0,8312.0
29.11.2023,32007.0769,25666.0769,18078.0769,13929.0,7588.0
30.11.2023,19154.9064,20337.9064,11278.9064,7876.0,9059.0
