Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.02.2023,30732.9408,15206.9408,6955.9408,23777.0,8251.0
02.02.2023,25300.5167,13604.5167,8032.5167,17268.0,5572.0
03.02.2023,33599.2053,18358.2053,13085.2053,20514.0,5273.0
04.02.2023,42672.0039,20506.0039,16581.0039,26091.0,3925.0
05.02.2023,10997.6022,13161.6022,5274.6022,5723.0,7887.0
06.02.2023,28088.1650,12478.1650,5768.1650,22320.0,6710.0
07.02.2023,17553.5928,14306.5928,4692.5928,12861.0,9614.0
08.02.2023,30682.0678,17516.0678,9932.0678,20750.0,7584.0
09.02.2023,29679.7789,17377.7789,9498.7789,20181.0,7879.0
10.02.2023,35408.7383,16556.7383,8905.7383,26503.0,7651.0
11.02.2023,43845.8450,12052.8450,7859.8450,35986.0,4193.0
12.02.2023,43456.2636,18582.2636,13832.2636,29624.0,4750.0
13.02.2023,43113.3736,16161.3736,10614.3736,32499.0,5547.0
14.02.2023,40416.3861,12527.3861,7172.3861,33244.0,5355.0
15.02.2023,29055.6850,16628.6850,8442.6850,20613.0,8186.0
16.02.2023,25748.8103,12717.8103,6880.8103,18868.0,5837.0
17.02.2023,21855.3172,14132.3172,6505.3172,15350.0,7627.0
18.02.2023,41024.6108,14710.6108,9838.6108,31186.0,4872.0
19.02.2023,20167.4314,16772.4314,7470.4314,12697.0,9302.0
20.02.2023,38372.4503,16399.4503,10297.4503,28075.0,6102.0
21.02.2023,17540.7772,11329.7772,3288.7772,14252.0,8041.0
22.02.2023,10656.8472,19880.8472,7255.8472,3401.0,12625.0
23.02.2023,24643.6869,22541.6869,8645.6869,15998.0,13896.0
24.02.2023,21062.4778,18062.4778,9631.4778,11431.0,8431.0
25.02.2023,41651.2711,17887.2711,8826.2711,32825.0,9061.0
26.02.2023,40633.3622,19569.3622,13898.3622,26735.0,5671.0
27.02.2023,38620.9367,13008.9367,8142.9367,30478.0,4866.0
28.02.2023,40431.1217,12551.1217,7404.1217,33027.0,5147.0
