Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.05.2026,23324.5343,27865.5343,14391.5343,8933.0,13474.0
02.05.2026,21715.103,28421.103,17745.103,3970.0,10676.0
03.05.2026,20750.7733,21286.7733,12632.7733,8118.0,8654.0
04.05.2026,15006.1162,23735.1162,10340.1162,4666.0,13395.0
05.05.2026,21413.6977,33805.6977,16052.6977,5361.0,17753.0
06.05.2026,7014.9187,27128.9187,6703.9187,311.0,20425.0
07.05.2026,3343.2811,21098.2811,3278.2811,65.0,17820.0
08.05.2026,4651.6621,26450.6621,4453.6621,198.0,21997.0
09.05.2026,14326.1154,32996.1154,13232.1154,1094.0,19764.0
10.05.2026,8883.5003,32357.5003,8339.5003,544.0,24018.0
11.05.2026,16870.949,41497.949,15745.949,1125.0,25752.0
12.05.2026,9458.0413,28989.0413,8440.0413,1018.0,20549.0
13.05.2026,15974.9423,29525.9423,14259.9423,1715.0,15266.0
14.05.2026,20873.669,25849.669,13102.669,7771.0,12747.0
15.05.2026,17172.3667,25554.3667,11390.3667,5782.0,14164.0
16.05.2026,20870.0015,37763.0015,18904.0015,1966.0,18859.0
17.05.2026,20498.7966,34273.7966,16792.7966,3706.0,17481.0
18.05.2026,15241.3689,33194.3689,12661.3689,2580.0,20533.0
19.05.2026,17179.8743,35662.8743,16246.8743,933.0,19416.0
20.05.2026,11140.4035,36324.4035,10550.4035,590.0,25774.0
21.05.2026,5349.9528,22604.9528,5177.9528,172.0,17427.0
22.05.2026,18906.3013,30502.3013,10886.3013,8020.0,19616.0
23.05.2026,4208.975,28239.975,4104.975,104.0,24135.0
24.05.2026,15613.2038,35688.2038,14487.2038,1126.0,21201.0
25.05.2026,8439.8101,26954.8101,8242.8101,197.0,18712.0
26.05.2026,11674.1784,30837.1784,11275.1784,399.0,19562.0
27.05.2026,19587.4787,38256.4787,18100.4787,1487.0,20156.0
28.05.2026,5147.9571,27300.9571,4893.9571,254.0,22407.0
29.05.2026,17812.0678,32912.0678,17351.0678,461.0,15561.0
30.05.2026,8621.0418,31631.0418,8286.0418,335.0,23345.0
31.05.2026,3657.6186,30915.6186,3614.6186,43.0,27301.0
