Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.09.2024,23923.9644,21645.9644,12556.9644,11367.0,9089.0
02.09.2024,19247.2369,17978.2369,11721.2369,7526.0,6257.0
03.09.2024,23061.5447,19423.5447,11986.5447,11075.0,7437.0
04.09.2024,28979.9906,21174.9906,12168.9906,16811.0,9006.0
05.09.2024,28734.1881,18216.1881,9616.1881,19118.0,8600.0
06.09.2024,10859.0644,16497.0644,9699.0644,1160.0,6798.0
07.09.2024,7610.1772,22602.1772,7300.1772,310.0,15302.0
08.09.2024,23497.2664,36015.2664,20774.2664,2723.0,15241.0
09.09.2024,10256.4839,23600.4839,10124.4839,132.0,13476.0
10.09.2024,13110.7458,25325.7458,9266.7458,3844.0,16059.0
11.09.2024,18554.9239,32713.9239,16482.9239,2072.0,16231.0
12.09.2024,4177.6725,19966.6725,4131.6725,46.0,15835.0
13.09.2024,11587.6081,30766.6081,10963.6081,624.0,19803.0
14.09.2024,12917.7614,33366.7614,11964.7614,953.0,21402.0
15.09.2024,7570.1133,46052.1133,7325.1133,245.0,38727.0
16.09.2024,26786.9097,29412.9097,15925.9097,10861.0,13487.0
17.09.2024,22616.1628,33776.1628,12699.1628,9917.0,21077.0
18.09.2024,21669.6206,28626.6206,15053.6206,6616.0,13573.0
19.09.2024,14705.6653,28397.6653,14037.6653,668.0,14360.0
20.09.2024,20906.8258,28718.8258,14426.8258,6480.0,14292.0
21.09.2024,33991.4094,22553.4094,12108.4094,21883.0,10445.0
22.09.2024,19891.1994,21047.1994,11596.1994,8295.0,9451.0
23.09.2024,30910.7292,24573.7292,12557.7292,18353.0,12016.0
24.09.2024,31246.1478,22713.1478,10056.1478,21190.0,12657.0
25.09.2024,29345.2578,27076.2578,13053.2578,16292.0,14023.0
26.09.2024,5975.3033,23037.3033,5938.3033,37.0,17099.0
27.09.2024,26292.9269,38149.9269,22607.9269,3685.0,15542.0
28.09.2024,30092.0358,28428.0358,17837.0358,12255.0,10591.0
29.09.2024,29692.2875,27473.2875,17250.2875,12442.0,10223.0
30.09.2024,35173.3286,16734.3286,10598.3286,24575.0,6136.0
