Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.06.2023,10958.8158,5384.8158,4065.8158,6893.0,1319.0
02.06.2023,10836.8836,1959.8836,1418.8836,9418.0,541.0
03.06.2023,16211.7028,6147.7028,4941.7028,11270.0,1206.0
04.06.2023,1979.01,3101.01,1977.01,2.0,1124.0
05.06.2023,6187.2814,7176.2814,6170.2814,17.0,1006.0
06.06.2023,10531.5222,1965.5222,1454.5222,9077.0,511.0
07.06.2023,17554.0014,5487.0014,4384.0014,13170.0,1103.0
08.06.2023,16967.4325,6088.4325,5106.4325,11861.0,982.0
09.06.2023,11503.4058,5043.4058,4064.4058,7439.0,979.0
10.06.2023,17364.4022,5553.4022,4648.4022,12716.0,905.0
11.06.2023,5816.6489,5535.6489,4546.6489,1270.0,989.0
12.06.2023,10415.8331,4949.8331,3839.8331,6576.0,1110.0
13.06.2023,10057.0614,5724.0614,4618.0614,5439.0,1106.0
14.06.2023,15604.23,6088.23,5018.23,10586.0,1070.0
15.06.2023,11603.9869,4686.9869,3650.9869,7953.0,1036.0
16.06.2023,16502.9967,5865.9967,4774.9967,11728.0,1091.0
17.06.2023,16263.8917,6140.8917,5030.8917,11233.0,1110.0
18.06.2023,10131.8594,4966.8594,3812.8594,6319.0,1154.0
19.06.2023,3373.2564,17453.2564,3364.2564,9.0,14089.0
20.06.2023,6665.8597,26093.8597,6516.8597,149.0,19577.0
21.06.2023,14962.6925,30100.6925,14911.6925,51.0,15189.0
22.06.2023,11920.9689,25675.9689,11880.9689,40.0,13795.0
23.06.2023,8479.5081,30137.5081,8419.5081,60.0,21718.0
24.06.2023,11327.1486,28490.1486,11255.1486,72.0,17235.0
25.06.2023,6513.8850,26948.8850,6420.8850,93.0,20528.0
26.06.2023,3388.9853,38229.9853,3385.9853,3.0,34844.0
27.06.2023,3356.8547,21966.8547,3354.8547,2.0,18612.0
28.06.2023,4522.9531,31800.9531,4492.9531,30.0,27308.0
29.06.2023,10923.5303,35192.5303,10790.5303,133.0,24402.0
30.06.2023,9182.2103,37945.2103,9078.2103,104.0,28867.0
