Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.06.2025,11651.0431,39018.0431,10765.0431,886.0,28253.0
02.06.2025,8034.7781,25345.7781,7707.7781,327.0,17638.0
03.06.2025,3197.7928,22409.7928,3133.7928,64.0,19276.0
04.06.2025,1522.9353,19486.9353,1483.9353,39.0,18003.0
05.06.2025,15089.9094,35085.9094,6436.9094,8653.0,28649.0
06.06.2025,2644.1061,34361.1061,2582.1061,62.0,31779.0
07.06.2025,7756.6358,45312.6358,7082.6358,674.0,38230.0
08.06.2025,2911.5189,46652.5189,2887.5189,24.0,43765.0
09.06.2025,4577.4444,44251.4444,4426.4444,151.0,39825.0
10.06.2025,15101.2897,37169.2897,14377.2897,724.0,22792.0
11.06.2025,1900.1216,29937.1216,1900.1216,0.0,28037.0
12.06.2025,1961.7606,33102.7606,1937.7606,24.0,31165.0
13.06.2025,4591.9135,36892.9135,4437.9135,154.0,32455.0
14.06.2025,14793.2199,34804.2199,14126.2199,667.0,20678.0
15.06.2025,16551.186,32573.186,14992.186,1559.0,17581.0
16.06.2025,16042.9206,30950.9206,13132.9206,2910.0,17818.0
17.06.2025,16558.7572,22594.7572,9989.7572,6569.0,12605.0
18.06.2025,16490.1059,27080.1059,9294.1059,7196.0,17786.0
19.06.2025,4890.4591,22205.4591,4764.4591,126.0,17441.0
20.06.2025,5320.26,28108.26,4900.26,420.0,23208.0
21.06.2025,12624.828,37570.828,11518.828,1106.0,26052.0
22.06.2025,5466.1871,35760.1871,5021.1871,445.0,30739.0
23.06.2025,13056.6491,37820.6491,7768.6491,5288.0,30052.0
24.06.2025,14749.0371,30940.0371,13743.0371,1006.0,17197.0
25.06.2025,4980.2121,22428.2121,4782.2121,198.0,17646.0
26.06.2025,14712.0227,22565.0227,13844.0227,868.0,8721.0
27.06.2025,2945.9411,8830.9411,2864.9411,81.0,5966.0
28.06.2025,1838.1858,3775.1858,1757.1858,81.0,2018.0
29.06.2025,15113.2654,22368.2654,9090.2654,6023.0,13278.0
30.06.2025,15923.6089,25865.6089,10536.6089,5387.0,15329.0
