Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.03.2024,24551.83,16399.83,12332.83,12219.0,4067.0
02.03.2024,35683.9031,8106.9031,6614.9031,29069.0,1492.0
03.03.2024,31046.0872,10573.0872,5763.0872,25283.0,4810.0
04.03.2024,21704.7744,16258.7744,10214.7744,11490.0,6044.0
05.03.2024,24317.8975,26199.8975,15406.8975,8911.0,10793.0
06.03.2024,31607.0886,17543.0886,9512.0886,22095.0,8031.0
07.03.2024,26857.0842,17104.0842,11655.0842,15202.0,5449.0
08.03.2024,29282.3778,19285.3778,11754.3778,17528.0,7531.0
09.03.2024,33676.4228,18959.4228,13097.4228,20579.0,5862.0
10.03.2024,32679.8594,24098.8594,17343.8594,15336.0,6755.0
11.03.2024,4643.5147,9858.5147,4639.5147,4.0,5219.0
12.03.2024,12371.8406,19028.8406,8400.8406,3971.0,10628.0
13.03.2024,29085.8597,15038.8597,8813.8597,20272.0,6225.0
14.03.2024,25826.2606,16840.2606,10710.2606,15116.0,6130.0
15.03.2024,17389.0267,21878.0267,11459.0267,5930.0,10419.0
16.03.2024,18313.5994,24758.5994,12446.5994,5867.0,12312.0
17.03.2024,24915.9469,29909.9469,18667.9469,6248.0,11242.0
18.03.2024,12663.0228,22282.0228,12208.0228,455.0,10074.0
19.03.2024,35613.3222,18840.3222,12423.3222,23190.0,6417.0
20.03.2024,36897.2322,16217.2322,10259.2322,26638.0,5958.0
21.03.2024,24945.3,16994.3,12762.3,12183.0,4232.0
22.03.2024,15663.0375,15937.0375,10271.0375,5392.0,5666.0
23.03.2024,28744.7342,17613.7342,9894.7342,18850.0,7719.0
24.03.2024,31597.8381,23685.8381,16181.8381,15416.0,7504.0
25.03.2024,22520.3294,12422.3294,7619.3294,14901.0,4803.0
26.03.2024,18131.6075,16397.6075,9615.6075,8516.0,6782.0
27.03.2024,14991.8486,26179.8486,10944.8486,4047.0,15235.0
28.03.2024,25159.6239,33240.6239,14252.6239,10907.0,18988.0
29.03.2024,15011.9292,33463.9292,12797.9292,2214.0,20666.0
30.03.2024,15220.4744,28258.4744,14661.4744,559.0,13597.0
31.03.2024,7642.3239,21590.3239,7603.3239,39.0,13987.0
