Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.08.2023,12431.1136,22846.1136,7993.1136,4438.0,14853.0
02.08.2023,8365.8633,36187.8633,7978.8633,387.0,28209.0
03.08.2023,6399.0119,28821.0119,6252.0119,147.0,22569.0
04.08.2023,3525.1347,34748.1347,3500.1347,25.0,31248.0
05.08.2023,14179.8439,39290.8439,13912.8439,267.0,25378.0
06.08.2023,7059.1683,36574.1683,7003.1683,56.0,29571.0
07.08.2023,11536.3144,33178.3144,10423.3144,1113.0,22755.0
08.08.2023,9074.3986,30656.3986,8817.3986,257.0,21839.0
09.08.2023,6501.6861,43383.6861,6464.6861,37.0,36919.0
10.08.2023,19569.8608,42334.8608,18625.8608,944.0,23709.0
11.08.2023,17418.2992,39584.2992,15054.2992,2364.0,24530.0
12.08.2023,9150.8583,36736.8583,9095.8583,55.0,27641.0
13.08.2023,12183.2383,34832.2383,11802.2383,381.0,23030.0
14.08.2023,20749.3478,28919.3478,13659.3478,7090.0,15260.0
15.08.2023,17008.6983,28338.6983,11699.6983,5309.0,16639.0
16.08.2023,17328.8428,30067.8428,13503.8428,3825.0,16564.0
17.08.2023,17013.6981,27639.6981,10389.6981,6624.0,17250.0
18.08.2023,15360.5444,28551.5444,10135.5444,5225.0,18416.0
19.08.2023,6394.6728,36532.6728,6375.6728,19.0,30157.0
20.08.2023,7235.1189,33759.1189,7179.1189,56.0,26580.0
21.08.2023,14387.4594,39542.4594,13831.4594,556.0,25711.0
22.08.2023,26945.5128,35100.5128,21821.5128,5124.0,13279.0
23.08.2023,18658.7556,27178.7556,12536.7556,6122.0,14642.0
24.08.2023,17705.2294,26661.2294,14649.2294,3056.0,12012.0
25.08.2023,25598.1847,28135.1847,18910.1847,6688.0,9225.0
26.08.2023,16104.0672,28079.0672,12129.0672,3975.0,15950.0
27.08.2023,9483.8081,38680.8081,9275.8081,208.0,29405.0
28.08.2023,26025.0086,38428.0086,19249.0086,6776.0,19179.0
29.08.2023,22922.1747,22067.1747,9732.1747,13190.0,12335.0
30.08.2023,28523.7753,25885.7753,17081.7753,11442.0,8804.0
31.08.2023,28218.2147,24240.2147,15064.2147,13154.0,9176.0
