Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.02.2025,34194.2945,17618.2945,14062.2945,20132.0,3556.0
02.02.2025,40794.5978,21556.5978,17205.5978,23589.0,4351.0
03.02.2025,39589.1564,20274.1564,16554.1564,23035.0,3720.0
04.02.2025,39590.2609,17234.2609,13004.2609,26586.0,4230.0
05.02.2025,39884.0012,18840.0012,14296.0012,25588.0,4544.0
06.02.2025,23495.3498,11778.3498,9387.3498,14108.0,2391.0
07.02.2025,28018.9285,7060.9285,5669.9285,22349.0,1391.0
08.02.2025,41870.2771,6921.2771,5483.2771,36387.0,1438.0
09.02.2025,9565.1925,6560.1925,5187.1925,4378.0,1373.0
10.02.2025,16576.8074,6328.8078,4917.8074,11659.0,1411.0004
11.02.2025,33586.0866,6653.0866,5491.0866,28095.0,1162.0
12.02.2025,30413.2573,6937.2573,5753.2573,24660.0,1184.0
13.02.2025,20068.0105,6418.0105,5005.0105,15063.0,1413.0
14.02.2025,42279.511,7153.511,5780.511,36499.0,1373.0
15.02.2025,42712.3001,9983.3001,7406.3001,35306.0,2577.0
16.02.2025,42348.8485,20245.8485,16914.8485,25434.0,3331.0
17.02.2025,35334.4672,16136.4672,12048.4672,23286.0,4088.0
18.02.2025,23626.2842,20131.2842,14554.2842,9072.0,5577.0
19.02.2025,16166.1081,15865.1081,10700.1081,5466.0,5165.0
20.02.2025,29094.1248,20428.1248,15108.1248,13986.0,5320.0
21.02.2025,31317.3518,20979.3518,14867.3518,16450.0,6112.0
22.02.2025,28915.5804,22006.5804,15898.5804,13017.0,6108.0
23.02.2025,23273.1401,15029.1401,10712.1401,12561.0,4317.0
24.02.2025,38622.7903,17869.7903,13059.7903,25563.0,4810.0
25.02.2025,16765.3799,16363.3799,11087.3799,5678.0,5276.0
26.02.2025,32568.282,19309.282,13360.282,19208.0,5949.0
27.02.2025,27144.2806,18691.2806,13915.2806,13229.0,4776.0
28.02.2025,40324.8865,12008.8865,8981.8865,31343.0,3027.0
