Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.05.2023,20567.0550,19693.0550,8125.0550,12442.0,11568.0
02.05.2023,18476.5544,12185.5544,2070.5544,16406.0,10115.0
03.05.2023,7356.5072,6224.5072,1279.5072,6077.0,4945.0
04.05.2023,22466.5336,5778.5336,2767.5336,19699.0,3011.0
05.05.2023,10776.9567,6249.9567,1868.9567,8908.0,4381.0
06.05.2023,22093.6489,6323.6489,2392.6489,19701.0,3931.0
07.05.2023,19136.0589,13152.0589,5618.0589,13518.0,7534.0
08.05.2023,9976.7214,21502.7214,6218.7214,3758.0,15284.0
09.05.2023,4161.2678,16531.2678,4159.2678,2.0,12372.0
10.05.2023,11741.0239,28662.0239,11405.0239,336.0,17257.0
11.05.2023,9655.1869,43767.1869,9573.1869,82.0,34194.0
12.05.2023,9503.7086,36545.7086,9436.7086,67.0,27109.0
13.05.2023,19656.95,25611.95,16988.95,2668.0,8623.0
14.05.2023,8241.3861,5172.3861,3871.3861,4370.0,1301.0
15.05.2023,20512.7164,5666.7164,4558.7164,15954.0,1108.0
16.05.2023,20642.0144,5786.0144,4652.0144,15990.0,1134.0
17.05.2023,2384.3444,3506.3444,2383.3444,1.0,1123.0
18.05.2023,2067.2186,3252.2186,2066.2186,1.0,1186.0
19.05.2023,8412.3908,8241.3908,7145.3908,1267.0,1096.0
20.05.2023,3876.0919,1462.3083,941.3083,3488.2524,1074.4688
21.05.2023,14120.4697,7445.4697,6424.4697,7696.0,1021.0
22.05.2023,19242.5794,5726.5794,4665.5794,14577.0,1061.0
23.05.2023,13097.3709,1884.1073,1327.1073,12324.5401,1111.2765
24.05.2023,7079.7333,1993.7333,1460.7333,5619.0,533.0
25.05.2023,16779.5103,5235.5103,3984.5103,12795.0,1251.0
26.05.2023,8401.6339,5688.6339,4439.6339,3962.0,1249.0
27.05.2023,12292.3724,3927.3226,3385.3226,9519.0220,1153.9722
28.05.2023,3224.7717,4398.7717,3221.7717,3.0,1177.0
29.05.2023,5014.6080,4646.2056,4066.2056,1529.1120,1160.7096
30.05.2023,12465.5897,4554.5897,3377.5897,9088.0,1177.0
31.05.2023,2060.9076,1436.9833,792.7839,1872.8328,1248.9085
