Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.04.2025,7445.2147,12630.2147,7291.2147,154.0,5339.0
02.04.2025,7988.8414,15925.8414,7598.8414,390.0,8327.0
03.04.2025,16340.6788,18945.6788,12818.6788,3522.0,6127.0
04.04.2025,22400.6839,16937.6839,12144.6839,10256.0,4793.0
05.04.2025,15599.5247,22322.5247,13946.5247,1653.0,8376.0
06.04.2025,24274.6535,20369.6535,13100.6535,11174.0,7269.0
07.04.2025,19333.6737,17702.6737,10911.6737,8422.0,6791.0
08.04.2025,10580.3097,22239.3097,9139.3097,1441.0,13100.0
09.04.2025,27461.5519,18334.5519,9743.5519,17718.0,8591.0
10.04.2025,29642.9876,20584.9876,12482.9876,17160.0,8102.0
11.04.2025,28875.0745,14835.0745,9795.0745,19080.0,5040.0
12.04.2025,28137.2194,20740.2194,13740.2194,14397.0,7000.0
13.04.2025,27746.6612,24611.6612,17716.6612,10030.0,6895.0
14.04.2025,6278.8936,13398.8936,5950.8936,328.0,7448.0
15.04.2025,14783.3849,22313.3849,11483.3849,3300.0,10830.0
16.04.2025,27998.8599,22119.8599,12842.8599,15156.0,9277.0
17.04.2025,13529.9223,18211.9223,10021.9223,3508.0,8190.0
18.04.2025,4870.3896,16941.3896,4657.3896,213.0,12284.0
19.04.2025,23453.429,25069.429,19652.429,3801.0,5417.0
20.04.2025,4279.3271,19399.3271,4180.3271,99.0,15219.0
21.04.2025,5520.8142,27351.8142,5456.8142,64.0,21895.0
22.04.2025,19048.618,30517.618,16097.618,2951.0,14420.0
23.04.2025,12154.4733,23342.4733,11479.4733,675.0,11863.0
24.04.2025,25329.9687,28126.9687,17795.9687,7534.0,10331.0
25.04.2025,25802.5569,23047.5569,14680.5569,11122.0,8367.0
26.04.2025,24878.1487,18614.1487,12859.1487,12019.0,5755.0
27.04.2025,23347.6303,20097.6303,14432.6303,8915.0,5665.0
28.04.2025,5470.5897,12416.5897,5305.5897,165.0,7111.0
29.04.2025,17731.3993,20814.3993,10380.3993,7351.0,10434.0
30.04.2025,4666.9086,17286.9086,4593.9086,73.0,12693.0
