Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.07.2026,16926.1297,37086.1297,12612.1297,4314.0,24474.0
02.07.2026,15949.6651,28136.6651,10279.6651,5670.0,17857.0
03.07.2026,7481.8538,25729.8538,7245.8538,236.0,18484.0
04.07.2026,2121.601,31617.601,2110.601,11.0,29507.0
05.07.2026,969.233,43306.233,969.233,0.0,42337.0
06.07.2026,2259.0824,41697.0824,2216.0824,43.0,39481.0
07.07.2026,4615.9528,49822.9528,4304.9528,311.0,45518.0
08.07.2026,2289.6939,26224.6939,2229.6939,60.0,23995.0
09.07.2026,8148.7112,12372.7112,7864.7112,284.0,4508.0
10.07.2026,12925.3947,6136.3947,4483.3947,8442.0,1653.0
11.07.2026,5230.3334,6811.3334,5129.3334,101.0,1682.0
12.07.2026,18136.4149,24025.4149,10338.4149,7798.0,13687.0
13.07.2026,6633.187,36661.187,6281.187,352.0,30380.0
14.07.2026,5432.9157,26800.9157,5224.9157,208.0,21576.0
15.07.2026,3169.9123,39494.9123,3169.9123,0.0,36325.0
16.07.2026,13949.4371,38936.4371,13035.4371,914.0,25901.0
17.07.2026,8318.1894,26722.1894,8120.1894,198.0,18602.0
18.07.2026,12542.3566,37894.3566,11693.3566,849.0,26201.0
19.07.2026,17066.7569,44717.7569,15817.7569,1249.0,28900.0
20.07.2026,18779.6281,31913.6281,12761.6281,6018.0,19152.0
21.07.2026,5007.9866,26273.9866,4845.9866,162.0,21428.0
22.07.2026,16955.4247,37863.4247,15562.4247,1393.0,22301.0
23.07.2026,5566.0618,23271.0618,5376.0618,190.0,17895.0
24.07.2026,2377.3974,25616.3974,2294.3974,83.0,23322.0
25.07.2026,10853.9178,55800.9178,10063.9178,790.0,45737.0
26.07.2026,19929.7484,54554.7484,17333.7484,2596.0,37221.0
27.07.2026,11920.9202,32157.9202,11615.9202,305.0,20542.0
28.07.2026,16682.9867,33728.9867,15931.9867,751.0,17797.0
29.07.2026,11931.7297,26097.7297,11170.7297,761.0,14927.0
30.07.2026,4727.9299,30544.9299,4472.9299,255.0,26072.0
31.07.2026,2854.917,38296.917,2799.917,55.0,35497.0
