Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.01.2023,28927.9894,5055.9894,3252.9894,25675.0,1803.0
02.01.2023,47379.6481,6755.6481,4434.6481,42945.0,2321.0
03.01.2023,41425.3767,6174.3767,3795.3767,37630.0,2379.0
04.01.2023,35307.1372,6005.1372,3772.1372,31535.0,2233.0
05.01.2023,23768.4636,6053.4636,3231.4636,20537.0,2822.0
06.01.2023,15086.4994,9114.4994,2616.4994,12470.0,6498.0
07.01.2023,36134.2186,18297.2186,10029.2186,26105.0,8268.0
08.01.2023,47824.6078,22128.6078,14947.6078,32877.0,7181.0
09.01.2023,47485.5667,18431.5667,12445.5667,35040.0,5986.0
10.01.2023,45937.4278,18777.4278,11811.4278,34126.0,6966.0
11.01.2023,10971.4575,14418.4575,4461.4575,6510.0,9957.0
12.01.2023,27419.3658,21422.3658,10268.3658,17151.0,11154.0
13.01.2023,45443.5892,18389.5892,9709.5892,35734.0,8680.0
14.01.2023,32977.4292,17732.4292,9643.4292,23334.0,8089.0
15.01.2023,45380.8678,18196.8678,11657.8678,33723.0,6539.0
16.01.2023,43851.9906,13233.9906,7460.9906,36391.0,5773.0
17.01.2023,18513.0139,18037.0139,6979.0139,11534.0,11058.0
18.01.2023,16118.9642,18944.9642,7206.9642,8912.0,11738.0
19.01.2023,45523.2894,16311.2894,10073.2894,35450.0,6238.0
20.01.2023,24434.9181,20310.9181,9937.9181,14497.0,10373.0
21.01.2023,28585.0383,17945.0383,8439.0383,20146.0,9506.0
22.01.2023,25405.88,20774.88,8094.88,17311.0,12680.0
23.01.2023,35702.4844,10587.4844,5033.4844,30669.0,5554.0
24.01.2023,23469.6872,7293.6872,3161.6872,20308.0,4132.0
25.01.2023,40078.9394,11024.9394,6336.9394,33742.0,4688.0
26.01.2023,29077.8721,7410.5367,4980.5367,29377.6392,7710.3038
27.01.2023,8693.8717,18256.8717,5319.8717,3374.0,12937.0
28.01.2023,42306.5550,18008.5550,10350.5550,31956.0,7658.0
29.01.2023,44784.7544,21574.7544,11760.7544,33024.0,9814.0
30.01.2023,33339.1083,12324.1083,7033.1083,26306.0,5291.0
31.01.2023,43508.10,10832.10,5525.10,37983.0,5307.0
