Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.08.2025,16103.5262,41167.5262,15466.5262,637.0,25701.0
02.08.2025,7120.7701,42175.7701,7080.7701,40.0,35095.0
03.08.2025,21603.516,43738.516,20361.516,1242.0,23377.0
04.08.2025,22572.2916,37081.2916,17336.2916,5236.0,19745.0
05.08.2025,20804.7019,30870.7019,15843.7019,4961.0,15027.0
06.08.2025,10191.1268,28071.1268,7783.1268,2408.0,20288.0
07.08.2025,9926.7294,24269.7294,9443.7294,483.0,14826.0
08.08.2025,7322.0699,38858.0699,5380.0699,1942.0,33478.0
09.08.2025,6570.7332,52815.7332,6331.7332,239.0,46484.0
10.08.2025,11232.0837,44634.0837,10471.0837,761.0,34163.0
11.08.2025,8730.199,33330.199,8340.199,390.0,24990.0
12.08.2025,9715.3058,38613.3058,9278.3058,437.0,29335.0
13.08.2025,24416.9738,28560.9738,13048.9738,11368.0,15512.0
14.08.2025,21187.2478,27082.2478,14239.2478,6948.0,12843.0
15.08.2025,24215.0216,23997.0216,15112.0216,9103.0,8885.0
16.08.2025,22143.8787,28220.8787,20382.8787,1761.0,7838.0
17.08.2025,15543.3899,24369.3899,13054.3899,2489.0,11315.0
18.08.2025,2999.9458,39829.9458,2999.9458,0.0,36830.0
19.08.2025,15229.4547,43786.4547,13945.4547,1284.0,29841.0
20.08.2025,14547.0966,34120.0966,13027.0966,1520.0,21093.0
21.08.2025,16242.6221,31845.6221,14684.6221,1558.0,17161.0
22.08.2025,22232.5991,27531.5991,13237.5991,8995.0,14294.0
23.08.2025,27324.7337,36943.7337,16964.7337,10360.0,19979.0
24.08.2025,27031.6088,42567.6088,20700.6088,6331.0,21867.0
25.08.2025,14730.0403,28726.0403,13702.0403,1028.0,15024.0
26.08.2025,27133.0494,29154.0494,15832.0494,11301.0,13322.0
27.08.2025,20421.775,24104.775,12476.775,7945.0,11628.0
28.08.2025,14054.0504,22570.0504,12706.0504,1348.0,9864.0
29.08.2025,18604.3771,31016.3771,13630.3771,4974.0,17386.0
30.08.2025,17406.5122,37800.5122,13251.5122,4155.0,24549.0
31.08.2025,24066.9964,40421.9964,14447.9964,9619.0,25974.0
