Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.08.2024,17439.5558,5259.5558,4368.5558,13071.0,891.0
02.08.2024,16676.5614,6101.5614,5194.5614,11482.0,907.0
03.08.2024,22976.7825,18067.7825,11491.7825,11485.0,6576.0
04.08.2024,19337.6097,37399.6097,18150.6097,1187.0,19249.0
05.08.2024,20581.7564,30219.7564,17193.7564,3388.0,13026.0
06.08.2024,22685.3675,18261.3675,9317.3675,13368.0,8944.0
07.08.2024,10966.3358,25370.3358,10757.3358,209.0,14613.0
08.08.2024,6103.9189,27031.9189,6023.9189,80.0,21008.0
09.08.2024,22368.015,32738.015,18589.015,3779.0,14149.0
10.08.2024,17755.7367,33590.7367,15989.7367,1766.0,17601.0
11.08.2024,13816.1886,27987.1886,13151.1886,665.0,14836.0
12.08.2024,13114.1853,27880.1853,12193.1853,921.0,15687.0
13.08.2024,21042.2494,27537.2494,14314.2494,6728.0,13223.0
14.08.2024,22883.43,23098.43,14165.43,8718.0,8933.0
15.08.2024,8106.6097,17221.6097,7707.6097,399.0,9514.0
16.08.2024,9174.2331,23515.2331,8982.2331,192.0,14533.0
17.08.2024,10495.7439,30426.7439,9790.7439,705.0,20636.0
18.08.2024,13312.1406,38147.1406,12440.1406,872.0,25707.0
19.08.2024,14141.7017,44086.7017,10420.7017,3721.0,33666.0
20.08.2024,22653.5161,42184.5161,15730.5161,6923.0,26454.0
21.08.2024,26489.8714,21002.8714,9174.8714,17315.0,11828.0
22.08.2024,16542.8967,28292.8967,12145.8967,4397.0,16147.0
23.08.2024,4541.8092,19320.8092,4499.8092,42.0,14821.0
24.08.2024,25165.6933,34724.6933,21534.6933,3631.0,13190.0
25.08.2024,1860.4208,24213.4208,1860.4208,0.0,22353.0
26.08.2024,11719.0319,36003.0319,11508.0319,211.0,24495.0
27.08.2024,21080.3425,20442.3425,8465.3425,12615.0,11977.0
28.08.2024,21796.6119,21981.6119,11904.6119,9892.0,10077.0
29.08.2024,21393.0944,24680.0944,13449.0944,7944.0,11231.0
30.08.2024,28737.5336,26809.5336,15598.5336,13139.0,11211.0
31.08.2024,25284.9919,24834.9919,13503.9919,11781.0,11331.0
