Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.10.2024,25496.2892,16743.2892,10120.2892,15376.0,6623.0
02.10.2024,7196.5872,20542.5872,6598.5872,598.0,13944.0
03.10.2024,2721.2936,27225.2936,2692.2936,29.0,24533.0
04.10.2024,3890.9822,31266.9822,3886.9822,4.0,27380.0
05.10.2024,15795.6058,38722.6058,14618.6058,1177.0,24104.0
06.10.2024,32269.9297,26046.9297,17679.9297,14590.0,8367.0
07.10.2024,27551.6353,19864.6353,12724.6353,14827.0,7140.0
08.10.2024,17330.3731,18029.3731,11398.3731,5932.0,6631.0
09.10.2024,10823.0264,28222.0264,10165.0264,658.0,18057.0
10.10.2024,35146.2661,23572.2661,12479.2661,22667.0,11093.0
11.10.2024,28426.0319,22980.0319,13651.0319,14775.0,9329.0
12.10.2024,26243.4672,25361.4672,15422.4672,10821.0,9939.0
13.10.2024,25218.4208,34995.4208,21833.4208,3385.0,13162.0
14.10.2024,36042.6167,26000.6167,16582.6167,19460.0,9418.0
15.10.2024,22737.6014,24425.6014,11464.6014,11273.0,12961.0
16.10.2024,35930.9581,20332.9581,11927.9581,24003.0,8405.0
17.10.2024,38175.5167,21018.5167,14162.5167,24013.0,6856.0
18.10.2024,28675.8167,28246.8167,19226.8167,9449.0,9020.0
19.10.2024,35390.9361,29006.9361,21031.9361,14359.0,7975.0
20.10.2024,29858.3319,27389.3319,21256.3319,8602.0,6133.0
21.10.2024,16070.4644,20143.4644,12468.4644,3602.0,7675.0
22.10.2024,31474.4069,21612.4069,17340.4069,14134.0,4272.0
23.10.2024,17427.6753,18648.6753,13343.6753,4084.0,5305.0
24.10.2024,13200.44,14722.44,11191.44,2009.0,3531.0
25.10.2024,28732.5003,19238.5003,14066.5003,14666.0,5172.0
26.10.2024,4668.9033,22414.9033,4612.9033,56.0,17802.0
27.10.2024,19966.4564,34292.4564,17829.4564,2137.0,16463.0
28.10.2024,26841.0444,27411.0444,16870.0444,9971.0,10541.0
29.10.2024,35422.0886,22178.0886,14158.0886,21264.0,8020.0
30.10.2024,23520.8622,18576.8622,11443.8622,12077.0,7133.0
31.10.2024,24564.0117,18168.0117,12162.0117,12402.0,6006.0
