Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.10.2025,28714.5411,38305.5411,17675.5411,11039.0,20630.0
02.10.2025,30841.8667,33084.8667,14903.8667,15938.0,18181.0
03.10.2025,37601.6619,27629.6619,15731.6619,21870.0,11898.0
04.10.2025,6366.8956,33928.8956,6278.8956,88.0,27650.0
05.10.2025,8638.234,34871.234,8340.234,298.0,26531.0
06.10.2025,14232.7592,37606.7592,13487.7592,745.0,24119.0
07.10.2025,26984.4622,26782.4622,14195.4622,12789.0,12587.0
08.10.2025,31646.2576,26008.2576,16223.2576,15423.0,9785.0
09.10.2025,7361.6362,13561.6362,6996.6362,365.0,6565.0
10.10.2025,32296.8517,21135.8517,17345.8517,14951.0,3790.0
11.10.2025,37497.004,31434.004,22434.004,15063.0,9000.0
12.10.2025,20403.3871,20182.3871,11350.3871,9053.0,8832.0
13.10.2025,13735.7444,27482.7444,12444.7444,1291.0,15038.0
14.10.2025,29547.1939,39361.1939,21931.1939,7616.0,17430.0
15.10.2025,24248.9333,30339.9333,18902.9333,5346.0,11437.0
16.10.2025,32824.1854,27123.1854,17081.1854,15743.0,10042.0
17.10.2025,17124.6646,24569.6646,13019.6646,4105.0,11550.0
18.10.2025,21970.1,25067.1,14896.1,7074.0,10171.0
19.10.2025,33243.5849,31660.5849,17456.5849,15787.0,14204.0
20.10.2025,7721.4421,23718.4421,7175.4421,546.0,16543.0
21.10.2025,31837.0454,27137.0454,15655.0454,16182.0,11482.0
22.10.2025,32256.8097,23781.8097,13725.8097,18531.0,10056.0
23.10.2025,16747.1443,18404.0484,13065.1443,3682.0,5338.9041
24.10.2025,6697.7723,14105.8671,6022.7723,675.0,8083.0948
25.10.2025,34852.1031,29063.1031,21250.1031,13602.0,7813.0
26.10.2025,23270.0611,23725.0611,11468.0611,11802.0,12257.0
27.10.2025,6029.0091,37397.0091,5973.0091,56.0,31424.0
28.10.2025,29995.8254,45937.8254,20254.8254,9741.0,25683.0
29.10.2025,31801.0428,29895.0428,16479.0428,15322.0,13416.0
30.10.2025,27304.7236,22784.7236,14087.7236,13217.0,8697.0
31.10.2025,25279.8582,28249.8582,14495.8582,10784.0,13754.0
