Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
[dd.MM.yyyy],[Wh],[Wh],[Wh],[Wh],[Wh]
01.01.2024,31464.7289,6355.7289,5635.7289,25829.0,720.0
02.01.2024,27125.0911,8815.0911,7116.0911,20009.0,1699.0
03.01.2024,18244.6328,15229.6328,10688.6328,7556.0,4541.0
04.01.2024,23457.7736,17735.7736,13083.7736,10374.0,4652.0
05.01.2024,20711.1217,17543.1217,12279.1217,8432.0,5264.0
06.01.2024,40975.005,20194.005,15952.005,25023.0,4242.0
07.01.2024,33562.2939,23008.2939,17749.2939,15813.0,5259.0
08.01.2024,21825.7422,14262.7422,10623.7422,11202.0,3639.0
09.01.2024,21885.0358,11862.0358,7883.0358,14002.0,3979.0
10.01.2024,24212.9561,20571.9561,14354.9561,9858.0,6217.0
11.01.2024,28948.2933,13251.2933,9285.2933,19663.0,3966.0
12.01.2024,36910.2869,13275.2869,7343.2869,29567.0,5932.0
13.01.2024,38701.1783,18391.1783,14541.1783,24160.0,3850.0
14.01.2024,13162.5272,18830.5272,11320.5272,1842.0,7510.0
15.01.2024,39161.8031,18116.8031,11645.8031,27516.0,6471.0
16.01.2024,45795.9186,15446.9186,11802.9186,33993.0,3644.0
17.01.2024,16301.1547,14059.1547,8988.1547,7313.0,5071.0
18.01.2024,37383.0447,12744.0447,10053.0447,27330.0,2691.0
19.01.2024,12245.4258,13878.4258,8997.4258,3248.0,4881.0
20.01.2024,30777.0133,17995.0133,13253.0133,17524.0,4742.0
21.01.2024,41677.6869,20422.6869,16590.6869,25087.0,3832.0
22.01.2024,35190.8775,18634.8775,13275.8775,21915.0,5359.0
23.01.2024,22012.8739,18625.8739,11385.8739,10627.0,7240.0
24.01.2024,37617.8147,24413.8147,17888.8147,19729.0,6525.0
25.01.2024,24143.5106,14800.5106,10214.5106,13929.0,4586.0
26.01.2024,30945.4856,14078.4856,10656.4856,20289.0,3422.0
27.01.2024,33856.575,8652.575,7222.575,26634.0,1430.0
28.01.2024,28827.985,11893.985,9055.985,19772.0,2838.0
29.01.2024,44314.3136,14439.3136,11306.3136,33008.0,3133.0
30.01.2024,31645.2006,12753.2006,9722.2006,21923.0,3031.0
31.01.2024,33474.5303,15043.5303,11246.5303,22228.0,3797.0
